accession	description	length	virus	mol_type	isolate	host	db_xref	country	date	strain	author	journal	title	division
MT326177	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1538/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29770	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1538/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/WA-UW-1538/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326176	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1638/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) gene, partial cds; and membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29301	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1638/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/WA-UW-1638/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326175	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1616/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29564	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1616/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/WA-UW-1616/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326174	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1620/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29786	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1620/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/WA-UW-1620/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326173	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UNKNOWN-UW-1773/2020, complete genome	29574	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UNKNOWN-UW-1773/2020	Homo sapiens	taxon:2697049	USA	2020	SARS-CoV-2/human/USA/UNKNOWN-UW-1773/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326172	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1760/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29854	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1760/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1760/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326171	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1758/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29878	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1758/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1758/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326170	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1762/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29710	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1762/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1762/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326169	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1770/2020, complete genome	29830	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1770/2020	Homo sapiens	taxon:2697049	USA	2020-03-22	SARS-CoV-2/human/USA/WA-UW-1770/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326168	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1756/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29772	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1756/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1756/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326167	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1753/2020, complete genome	29897	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1753/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1753/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326166	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1735/2020, complete genome	29759	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1735/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1735/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326165	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1730/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29730	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1730/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1730/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326164	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1750/2020, complete genome	29870	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1750/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1750/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326163	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1741/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29639	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1741/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1741/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326162	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1739/2020, complete genome	29861	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1739/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1739/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326161	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1732/2020, complete genome	29589	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1732/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1732/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326160	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1733/2020, complete genome	29765	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1733/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1733/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326159	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1722/2020, complete genome	29836	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1722/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1722/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326158	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1772/2020, complete genome	29737	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1772/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1772/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326157	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1708/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29532	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1708/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1708/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326156	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1731/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29871	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1731/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1731/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326155	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1709/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29734	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1709/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1709/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326154	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1724/2020, complete genome	29863	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1724/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1724/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326153	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1702/2020, complete genome	29874	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1702/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1702/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326152	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1706/2020, complete genome	29758	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1706/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1706/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326151	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1705/2020, complete genome	29744	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1705/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1705/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326150	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1707/2020, complete genome	29876	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1707/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1707/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326149	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1745/2020, complete genome	29725	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1745/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1745/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326148	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1744/2020, complete genome	29817	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1744/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1744/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326147	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1700/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29777	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1700/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/WA-UW-1700/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326146	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1748/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29538	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1748/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1748/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326145	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1729/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29301	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1729/2020	Homo sapiens	taxon:2697049	USA	2020-03-21	SARS-CoV-2/human/USA/WA-UW-1729/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326144	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1695/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29787	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1695/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/WA-UW-1695/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326143	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1682/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29617	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1682/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/WA-UW-1682/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326142	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1684/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, partial cds; and ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29335	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1684/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/WA-UW-1684/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326141	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1690/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29551	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1690/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/WA-UW-1690/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
MT326140	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1680/2020, complete genome	29868	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/WA-UW-1680/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/WA-UW-1680/2020	Roychoudhury,P., Greninger,A. and Jerome,K.	Submitted (12-APR-2020) Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	Direct Submission	
